epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,821.473,1.46885,0.95296,1.06395,0.94358,0.46891,0.78117,0.40035,1.62407,2.21326,1.14609,0.0014354,0.0014354,0.0014354
43,839.37,1.5976,0.97793,1.0691,0.94358,0.46891,0.78117,0.40035,1.62407,2.21326,1.14609,0.00146438,0.00146438,0.00146438
44,857.898,1.45453,1.04086,1.08708,0.90047,0.38318,0.77761,0.42697,1.45719,2.16582,1.08089,0.00149309,0.00149309,0.00149309
45,876.488,1.58793,1.0317,1.14622,0.90047,0.38318,0.77761,0.42697,1.45719,2.16582,1.08089,0.00152154,0.00152154,0.00152154
46,894.732,1.68195,1.06305,1.10409,0.95217,0.55819,0.87754,0.46686,1.61513,1.95781,1.15322,0.00154973,0.00154973,0.00154973
47,912.922,1.51611,0.98876,1.06687,0.95217,0.55819,0.87754,0.46686,1.61513,1.95781,1.15322,0.00157765,0.00157765,0.00157765
48,930.922,1.55784,0.95108,1.12368,0.86292,0.72897,0.90063,0.40943,1.78177,1.76153,1.24671,0.00160531,0.00160531,0.00160531
49,949.036,1.53846,1.00032,1.14203,0.86292,0.72897,0.90063,0.40943,1.78177,1.76153,1.24671,0.0016327,0.0016327,0.0016327
50,967.208,1.58905,0.998,1.10646,0.82932,0.80374,0.91814,0.45621,1.51482,1.56664,1.13111,0.00165983,0.00165983,0.00165983
51,985.519,1.61144,0.96775,1.05103,0.82932,0.80374,0.91814,0.45621,1.51482,1.56664,1.13111,0.00167,0.00167,0.00167
52,1003.5,1.41144,1.03352,1.12037,0.95334,0.82243,0.94691,0.5108,1.44392,1.46377,1.09373,0.0016634,0.0016634,0.0016634
53,1022,1.48847,0.96902,1.06121,0.95334,0.82243,0.94691,0.5108,1.44392,1.46377,1.09373,0.0016568,0.0016568,0.0016568
54,1039.78,1.47973,0.96445,1.06847,0.89634,0.84112,0.94004,0.45419,1.67767,1.42424,1.18912,0.0016502,0.0016502,0.0016502
55,1057.85,1.43797,0.87571,1.05059,0.89634,0.84112,0.94004,0.45419,1.67767,1.42424,1.18912,0.0016436,0.0016436,0.0016436
56,1075.78,1.47727,0.92147,1.10152,0.90149,0.85532,0.95127,0.51838,1.52169,1.35215,1.13433,0.001637,0.001637,0.001637
57,1094.42,1.41545,0.94199,1.07113,0.90149,0.85532,0.95127,0.51838,1.52169,1.35215,1.13433,0.0016304,0.0016304,0.0016304
58,1112.94,1.48112,0.92409,1.07621,0.90973,0.94191,0.98208,0.59816,1.43794,1.21075,1.10237,0.0016238,0.0016238,0.0016238
59,1131.23,1.65768,1.02726,1.27389,0.90973,0.94191,0.98208,0.59816,1.43794,1.21075,1.10237,0.0016172,0.0016172,0.0016172
60,1149.95,1.42839,0.91752,1.05146,0.90912,0.93458,0.97866,0.53362,1.55005,1.21029,1.15069,0.0016106,0.0016106,0.0016106
61,1167.73,1.51657,0.859,1.09989,0.90912,0.93458,0.97866,0.53362,1.55005,1.21029,1.15069,0.001604,0.001604,0.001604
62,1185.85,1.42656,0.86599,1.06219,0.90541,0.93458,0.97285,0.60347,1.32731,1.09785,1.06473,0.0015974,0.0015974,0.0015974
63,1203.9,1.47067,0.85025,1.05079,0.90541,0.93458,0.97285,0.60347,1.32731,1.09785,1.06473,0.0015908,0.0015908,0.0015908
64,1222.56,1.53421,0.9178,1.01118,0.94417,0.94393,0.98109,0.62517,1.25497,0.96003,1.03863,0.0015842,0.0015842,0.0015842
65,1240.36,1.42592,0.9835,1.10132,0.94417,0.94393,0.98109,0.62517,1.25497,0.96003,1.03863,0.0015776,0.0015776,0.0015776
66,1258.39,1.518,0.88879,1.08417,0.93629,0.97196,0.98321,0.58506,1.39662,0.97569,1.0775,0.001571,0.001571,0.001571
67,1276.2,1.34427,0.86571,1.03104,0.93629,0.97196,0.98321,0.58506,1.39662,0.97569,1.0775,0.0015644,0.0015644,0.0015644
68,1294.27,1.36593,0.82557,1.01018,0.9499,0.96262,0.98709,0.61812,1.2998,0.9269,1.03707,0.0015578,0.0015578,0.0015578
69,1312.05,1.39995,0.84535,1.02998,0.9499,0.96262,0.98709,0.61812,1.2998,0.9269,1.03707,0.0015512,0.0015512,0.0015512
70,1329.95,1.28457,0.7976,1.02521,0.94532,0.96942,0.98821,0.61514,1.29927,0.90871,1.04282,0.0015446,0.0015446,0.0015446
71,1347.49,1.20933,0.77952,0.96807,0.94532,0.96942,0.98821,0.61514,1.29927,0.90871,1.04282,0.001538,0.001538,0.001538
72,1365.48,1.33003,0.7942,1.02982,0.96253,0.96024,0.98622,0.60918,1.33945,0.90612,1.06207,0.0015314,0.0015314,0.0015314
